EX_RL,RL,EX_RT,RT,nu_RL,nu_RT,q,Q2
32.13342,26.086536,,,0.03306429994583482,,0.148,0.02
32.21268,26.855496,,,0.03314332590927194,,0.148,0.02
32.38461,26.503884,,,0.03331474632480536,,0.148,0.02
32.51589,27.721404000000003,,,0.03344563545843648,,0.148,0.02
32.56385000000001,29.080080000000002,,,0.03349345228368783,,0.148,0.02
32.64627,28.570140000000002,,,0.03357562575929762,,0.148,0.02
32.743590000000005,29.345436,,,0.03367265389246121,,0.148,0.02
32.857079999999996,29.006172,,,0.03378580247054153,,0.148,0.02
33.01759,28.517508,,,0.03394582764472709,,0.148,0.02
33.20115,28.993644,,,0.03412883039612602,,0.148,0.02
33.38461,25.821792,,,0.03431173046664959,,0.148,0.02
33.397999999999996,26.972027999999998,,,0.03432507948284602,,0.148,0.02
33.5748,26.742312000000002,,,0.03450133684718892,,0.148,0.02
33.70282,26.061372,,,0.03462896219793876,,0.148,0.02
33.7808,24.69942,,,0.03470670109586038,,0.148,0.02
33.891690000000004,26.112024,,,0.03481724731300595,,0.148,0.02
33.89709,25.274736,,,0.03482263054401535,,0.148,0.02
34.03874,26.065332,,,0.03496383974549389,,0.148,0.02
34.176770000000005,25.123572,,,0.03510143850130376,,0.148,0.02
34.21448,26.040276000000002,,,0.03513903039108968,,0.148,0.02
34.39586,26.611164,,,0.03531984053607573,,0.148,0.02
34.58766,27.309564,,,0.03551103477229489,,0.148,0.02
34.76463,28.048572,,,0.03568744295470339,,0.148,0.02
34.904329999999995,27.933696,,,0.0358266974962671,,0.148,0.02
34.97602,28.711944,,,0.03589815822847697,,0.148,0.02
35.087720000000004,28.6749,,,0.03600950009941783,,0.148,0.02
35.194660000000006,29.37272400000001,,,0.03611609619590261,,0.148,0.02
