E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.3201,145,5.01E-02,12,6,64.37774819,3.65311105,0,68.03085924,,
0.3201,145,5.51E-02,12,6,89.39656807,5.558344082,0,94.95491215,,
0.3201,145,6.01E-02,12,6,121.0171464,7.636812437,0,128.6539588,,
0.3201,145,6.51E-02,12,6,160.4264278,9.917899143,0,170.344327,,
0.3201,145,7.01E-02,12,6,208.6096272,12.42559829,0,221.0352254,,
0.3201,145,7.51E-02,12,6,266.1517368,15.18814572,0,281.3398825,,
0.3201,145,8.01E-02,12,6,333.0423018,18.23803924,0,351.280341,,
0.3201,145,8.51E-02,12,6,408.527793,21.61062329,0,430.1384163,,
0.3201,145,9.01E-02,12,6,491.0477816,25.34404792,0,516.3918295,,
0.3201,145,9.51E-02,12,6,578.2722121,29.47915636,0,607.7513685,,
0.3201,145,0.1001,12,6,667.2382857,34.05928753,0,701.2975732,,
0.3201,145,0.1051,12,6,754.571885,39.12997899,0,793.701864,,
0.3201,145,0.1101,12,6,836.7667359,44.73855495,0,881.5052909,,
0.3201,145,0.1151,12,6,910.4819008,50.9335843,0,961.4154851,,
0.3201,145,0.1201,12,6,972.8099971,57.76419389,0,1030.574191,,
0.3201,145,0.1251,12,6,1021.473401,65.27922429,0,1086.752625,,
0.3201,145,0.1301,12,6,1054.925581,73.5262176,0,1128.451799,,
0.3201,145,0.1351,12,6,1072.36137,82.55023132,0,1154.911602,,
0.3201,145,0.1401,12,6,1073.661105,92.39247744,0,1166.053583,,
0.3201,145,0.1451,12,6,1059.301485,103.0887928,0,1162.390278,,
0.3201,145,0.1501,12,6,1030.261007,113.8665898,0,1144.127597,,
0.3201,145,0.1551,12,6,987.9357603,126.1920788,0,1114.127839,,
0.3201,145,0.1601,12,6,934.068648,139.4140095,1.50E-02,1073.497663,,
0.3201,145,0.1651,12,6,870.6861091,153.5316206,0.149675851,1024.367406,,
0.3201,145,0.1701,12,6,800.0324564,168.5307633,0.482451543,969.0456712,,
0.3201,145,0.1751,12,6,724.4926608,184.3819603,1.143452756,910.0180739,,
0.3201,145,0.1801,12,6,646.4984223,201.0384174,2.302959207,849.8397989,,
0.3201,145,0.1851,12,6,568.4181887,218.4340074,4.194683286,791.0468793,,
0.3201,145,0.1901,12,6,492.4379855,236.4812577,7.085305021,736.0045482,,
0.3201,145,0.1951,12,6,420.445134,255.0693522,11.29285433,686.8073406,,
0.3201,145,0.2001,12,6,353.9299836,274.062093,17.25944317,645.2515198,,
0.3201,145,0.2051,12,6,293.9207172,293.2957076,25.3777621,612.5941869,,
0.3201,145,0.2101,12,6,240.9626993,312.5763725,36.16793554,589.7070073,,
0.3201,145,0.2151,12,6,195.1470469,331.6773694,50.16503041,576.9894468,,
