A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.0751,0.3601,90,2200,96.99484522,1
12,6,0.0751,0.3601,145,95,6.843244844,1
12,6,0.0751,0.3201,145,427,24.87558643,1
12,6,0.0773,0.4798,60,5740,222.56936,1
12,6,0.0775,0.48,36,74390,3820.084622,1
12,6,0.0775,0.4,36,77230,4688.269135,1
12,6,0.0775,0.32,36,61850,6550.313504,1
12,6,0.0775,0.68,60,160,20.75379483,1
12,6,0.0775,0.62,60,660,37.71896075,1
12,6,0.0775,0.44,60,9470,360.7174517,1
12,6,0.0776,0.2801,90,7150,338.0044378,1
12,6,0.0776,0.2801,145,1190,58.14051943,1
12,6,0.0778,0.3203,60,22320,926.2391052,1
12,6,0.0778,0.2803,60,24830,1108.979116,1
12,6,0.0779,0.2404,60,19880,1349.020859,1
12,6,0.078,0.4005,90,1060,54.2984346,1
12,6,0.0782,0.3207,90,4480,230.1835789,1
12,6,0.0784,0.3609,60,19400,762.3857291,1
12,6,0.0785,0.401,60,13680,535.7899589,1
12,6,0.0786,0.2411,90,9330,483.7961141,1
12,6,0.0786,0.2411,145,2410,122.7587879,1
12,6,0.0793,0.5568,90,14,2.057960155,1
12,6,0.0797,0.3997,145,22,2.140280356,1
12,6,0.0799,0.1999,90,7970,633.3443613,1
12,6,0.0799,0.1999,145,3730,213.5309814,1
12,6,0.0801,0.3601,90,2450,110.0136355,1
12,6,0.0801,0.3601,145,120,8.141252975,1
12,6,0.0801,0.3201,145,456,25.48574504,1
12,6,0.0813,0.5188,60,3830,154.9279833,1
12,6,0.0818,0.5193,90,60,10.21371627,1
12,6,0.0819,0.4794,90,170,11.60517126,1
12,6,0.0823,0.4798,60,6260,238.79933,1
12,6,0.0825,0.68,36,29420,1514.279921,1
12,6,0.0825,0.62,36,42830,2074.557948,1
12,6,0.0825,0.56,36,55270,2954.357372,1
12,6,0.0825,0.48,36,68270,3559.290868,1
12,6,0.0825,0.4,36,63340,4071.762115,1
12,6,0.0825,0.32,36,51520,6077.933241,1
12,6,0.0825,0.56,60,2210,118.1563371,1
12,6,0.0825,0.44,60,9950,380.0039473,1
12,6,0.0826,0.2801,90,7210,353.3849459,1
12,6,0.0826,0.2801,145,1322,70.04442019,1
12,6,0.0828,0.3203,60,20460,861.6460526,1
12,6,0.0828,0.2803,60,21360,991.5137518,1
12,6,0.0829,0.2404,60,16970,1256.056161,1
12,6,0.083,0.4005,90,1230,65.6923131,1
12,6,0.0832,0.3207,90,4790,252.2556639,1
12,6,0.0834,0.3609,60,18910,747.4661999,1
12,6,0.0835,0.401,60,14260,562.9539235,1
12,6,0.0836,0.2411,90,8480,456.9381577,1
12,6,0.0836,0.2411,145,2630,136.7635916,1
12,6,0.0847,0.3997,145,34,3.222917933,1
12,6,0.0849,0.1999,90,6050,597.9322704,1
12,6,0.0849,0.1999,145,3440,215.8710726,1
12,6,0.0851,0.3601,90,2770,153.6472583,1
12,6,0.0851,0.3601,145,140,10.22350233,1
12,6,0.0851,0.3201,145,560,28.588809,1
12,6,0.0873,0.4798,60,6660,255.5909232,1
12,6,0.0875,0.48,36,62230,3293.506867,1
12,6,0.0875,0.4,36,56660,3762.516009,1
12,6,0.0875,0.32,36,43880,5725.464634,1
12,6,0.0875,0.68,60,310,22.70066078,1
12,6,0.0875,0.62,60,980,52.46408295,1
12,6,0.0875,0.44,60,10260,393.9811163,1
12,6,0.0876,0.2801,90,6950,339.9455839,1
12,6,0.0876,0.2801,145,1418,70.80867744,1
12,6,0.0878,0.3203,60,18140,778.7628137,1
12,6,0.0878,0.2803,60,18460,897.6780715,1
12,6,0.0879,0.2404,60,14830,1223.116789,1
12,6,0.088,0.4005,90,1420,70.14043057,1
12,6,0.0882,0.3207,90,4970,263.8959644,1
12,6,0.0884,0.3609,60,17980,714.4483746,1
12,6,0.0885,0.401,60,14610,573.6222799,1
12,6,0.0886,0.2411,90,7560,421.2888795,1
12,6,0.0886,0.2411,145,2657,137.3884231,1
12,6,0.0893,0.5568,90,24,2.165917819,1
12,6,0.0897,0.3997,145,43,3.349447716,1
12,6,0.0899,0.1999,90,5340,599.26515,1
12,6,0.0899,0.1999,145,3100,201.0770997,1
12,6,0.0901,0.3601,90,2990,151.0897746,1
12,6,0.0901,0.3601,145,195,12.06772555,1
12,6,0.0901,0.3201,145,641,30.56234939,1
12,6,0.0913,0.5188,60,4660,184.820778,1
12,6,0.0918,0.5193,90,80,10.37689742,1
12,6,0.0919,0.4794,90,260,13.45808307,1
12,6,0.0923,0.4798,60,6990,270.2445559,1
12,6,0.0925,0.68,36,31890,1638.434167,1
12,6,0.0925,0.62,36,42220,2066.551253,1
12,6,0.0925,0.56,36,53500,2891.902488,1
12,6,0.0925,0.48,36,55530,2990.718489,1
12,6,0.0925,0.4,36,48490,3394.707074,1
12,6,0.0925,0.32,36,32750,4922.517141,1
12,6,0.0925,0.56,60,2780,146.1987688,1
12,6,0.0925,0.44,60,10760,413.924051,1
12,6,0.0926,0.2801,90,6680,326.2619806,1
12,6,0.0926,0.2801,145,1584,76.9861494,1
12,6,0.0928,0.3203,60,15960,706.5875176,1
12,6,0.0928,0.2803,60,15560,799.1472455,1
12,6,0.0929,0.2404,60,12020,1166.823243,1
12,6,0.093,0.4005,90,1560,80.74849844,1
12,6,0.0932,0.3207,90,5210,276.8987541,1
12,6,0.0934,0.3609,60,17180,685.4070907,1
12,6,0.0935,0.401,60,14300,564.1701871,1
12,6,0.0936,0.2411,90,6660,394.495526,1
12,6,0.0936,0.2411,145,2704,141.4564923,1
12,6,0.0947,0.3997,145,60,4.507771068,1
12,6,0.0949,0.1999,90,4560,591.4831528,1
12,6,0.0949,0.1999,145,2820,187.4643433,1
12,6,0.0951,0.3601,90,3120,169.0599894,1
12,6,0.0951,0.3601,145,239,15.41250142,1
12,6,0.0951,0.3201,145,724,36.85120351,1
12,6,0.0973,0.4798,60,7510,290.826615,1
12,6,0.0975,0.48,36,48520,2682.000835,1
12,6,0.0975,0.4,36,41300,3073.308966,1
12,6,0.0975,0.68,60,450,33.80828301,1
12,6,0.0975,0.62,60,1320,67.75603294,1
